ID_ARCHETYPE,archetype,perc_wall,wall_count,wall_mean,wall_std,wall_min,wall_Q1,wall_Q2,wall_Q3,wall_max,wall_EP_ISOL_M1_med,wall_EP_ISOL_M1_moy,perc_roof,roof_count,roof_mean,roof_std,roof_min,roof_Q1,roof_Q2,roof_Q3,roof_max,roof_EP_ISOL_T1_med,roof_EP_ISOL_T1_moy
HAB_P_P3_TAR,P3-P-HABITAT-FRANCE_ARDOISE,66.3,123105,1.041,0.456,0.5,0.74,0.9,1.05,3.0,2.0,2.0,28.1,52108,0.838,0.729,0.4,0.42,0.5,0.67,4.17,6,2
HAB_P_P3_TBR,P3-P-HABITAT-FRANCE_TUILE,66.3,123105,1.041,0.456,0.5,0.74,0.9,1.05,3.0,2.0,2.0,28.1,52108,0.838,0.729,0.4,0.42,0.5,0.67,4.17,6,2
HAB_I_P4_TAR,P4-I-HABITAT-FRANCE_ARDOISE,56.4,6672,0.919,0.427,0.5,0.7,0.74,0.89,2.86,3.0,2.0,76.7,9080,1.441,1.034,0.26,0.34,1.45,2.5,3.0,0,0
HAB_I_P4_TBR,P4-I-HABITAT-FRANCE_TUILE,56.4,6672,0.919,0.427,0.5,0.7,0.74,0.89,2.86,3.0,2.0,76.7,9080,1.441,1.034,0.26,0.34,1.45,2.5,3.0,0,0
HAB_P_P4_TAR,P4-P-HABITAT-FRANCE_ARDOISE,44.4,64279,0.849,0.308,0.57,0.7,0.74,0.84,3.5,3.0,3.0,41.3,59733,0.49,0.507,0.26,0.3,0.33,0.42,2.5,10,6
HAB_P_P4_TBR,P4-P-HABITAT-FRANCE_TUILE,44.4,64279,0.849,0.308,0.57,0.7,0.74,0.84,3.5,3.0,3.0,41.3,59733,0.49,0.507,0.26,0.3,0.33,0.42,2.5,10,6
HAB_I_P5_TAR,P5-I-HABITAT-FRANCE_ARDOISE,61.2,14351,0.651,0.423,0.45,0.45,0.47,0.56,2.7,7.0,5.0,84.8,19867,1.359,1.079,0.21,0.26,0.71,2.5,3.0,3,1
HAB_I_P5_TBR,P5-I-HABITAT-FRANCE_TUILE,61.2,14351,0.651,0.423,0.45,0.45,0.47,0.56,2.7,7.0,5.0,84.8,19867,1.359,1.079,0.21,0.26,0.71,2.5,3.0,3,1
HAB_P_P5_TAR,P5-P-HABITAT-FRANCE_ARDOISE,48.8,69206,0.561,0.291,0.45,0.45,0.47,0.5,2.61,7.0,5.0,50.400000000000006,71506,0.376,0.444,0.21,0.25,0.26,0.3,2.5,13,8
HAB_P_P5_TBR,P5-P-HABITAT-FRANCE_TUILE,48.8,69206,0.561,0.291,0.45,0.45,0.47,0.5,2.61,7.0,5.0,50.400000000000006,71506,0.376,0.444,0.21,0.25,0.26,0.3,2.5,13,8
HAB_I_P6_TAR,P6-I-HABITAT-FRANCE_ARDOISE,86.0,27292,0.477,0.342,0.35,0.36,0.38,0.4,3.01,9.0,7.0,92.9,29473,1.122,1.088,0.17,0.2,0.29,2.5,2.5,11,1
HAB_I_P6_TBR,P6-I-HABITAT-FRANCE_TUILE,86.0,27292,0.477,0.342,0.35,0.36,0.38,0.4,3.01,9.0,7.0,92.9,29473,1.122,1.088,0.17,0.2,0.29,2.5,2.5,11,1
TER_I_P6_TF,P6-I-TERTIAIRE-FRANCE,71.7,261,0.705,0.57,0.36,0.36,0.42,0.7,2.5,1.0,0.0,44.0,160,1.486,1.041,0.27,0.34,2.3,2.5,2.5,0,1
HAB_P_P6_TAR,P6-P-HABITAT-FRANCE_ARDOISE,74.8,160883,0.419,0.224,0.35,0.35,0.36,0.4,5.0,10.0,8.0,69.3,148934,0.27,0.342,0.17,0.19,0.2,0.23,2.5,18,13
HAB_P_P6_TBR,P6-P-HABITAT-FRANCE_TUILE,74.8,160883,0.419,0.224,0.35,0.35,0.36,0.4,5.0,10.0,8.0,69.3,148934,0.27,0.342,0.17,0.19,0.2,0.23,2.5,18,13
HAB_I_P7_TBR,P7-I-HABITAT-FRANCE_ARDOISE,91.4,8352,0.568,0.521,0.22,0.33,0.36,0.42,2.5,9.0,5.0,95.5,8725,0.832,0.982,0.12,0.19,0.25,2.0,2.5,14,3
HAB_I_P7_TAR,P7-I-HABITAT-FRANCE_TUILE,91.4,8352,0.568,0.521,0.22,0.33,0.36,0.42,2.5,9.0,5.0,95.5,8725,0.832,0.982,0.12,0.19,0.25,2.0,2.5,14,3
HAB_P_P7_TAR,P7-P-HABITAT-FRANCE_ARDOISE,88.6,42625,0.471,0.42,0.22,0.3,0.35,0.39,4.3,10.0,7.0,84.7,40782,0.298,0.466,0.12,0.13,0.19,0.23,2.5,19,11
HAB_P_P7_TBR,P7-P-HABITAT-FRANCE_TUILE,88.6,42625,0.471,0.42,0.22,0.3,0.35,0.39,4.3,10.0,7.0,84.7,40782,0.298,0.466,0.12,0.13,0.19,0.23,2.5,19,11
