ID_ARCHETYPE,archetype,U_wall_0,U_wall_min,U_wall_max,perc_below_lim_wall,perc_within_lim_wall,perc_above_lim_wall,U_roof_0_moy,U_roof_min,U_roof_max,perc_below_lim_roof,perc_within_lim_roof,perc_above_lim_roof,dist_perc_wall,dist_wall_count,dist_wall_mean,dist_wall_std,dist_wall_min,dist_wall_Q1,dist_wall_Q2,dist_wall_Q3,dist_wall_max,dist_wall_EP_ISOL_M1_med,dist_wall_EP_ISOL_M1_moy,dist_perc_roof,dist_roof_count,dist_roof_mean,dist_roof_std,dist_roof_min,dist_roof_Q1,dist_roof_Q2,dist_roof_Q3,dist_roof_max,dist_roof_EP_ISOL_T1_moy,dist_roof_EP_ISOL_T1_med,renov_perc_wall,renov_wall_count,renov_wall_mean,renov_wall_std,renov_wall_min,renov_wall_Q1,renov_wall_Q2,renov_wall_Q3,renov_wall_max,renov_wall_EP_ISOL_M1_med,renov_wall_EP_ISOL_M1_moy,renov_perc_roof,renov_roof_count,renov_roof_mean,renov_roof_std,renov_roof_min,renov_roof_Q1,renov_roof_Q2,renov_roof_Q3,renov_roof_max,renov_roof_EP_ISOL_T1_moy,renov_roof_EP_ISOL_T1_med,nonrnv_perc_wall,nonrnv_wall_count,nonrnv_wall_mean,nonrnv_wall_std,nonrnv_wall_min,nonrnv_wall_Q1,nonrnv_wall_Q2,nonrnv_wall_Q3,nonrnv_wall_max,nonrnv_wall_EP_ISOL_M1_med,nonrnv_wall_EP_ISOL_M1_moy,nonrnv_perc_roof,nonrnv_roof_count,nonrnv_roof_mean,nonrnv_roof_std,nonrnv_roof_min,nonrnv_roof_Q1,nonrnv_roof_Q2,nonrnv_roof_Q3,nonrnv_roof_max,nonrnv_roof_EP_ISOL_T1_med,nonrnv_roof_EP_ISOL_T1_moy
HAB_P_P1_TGRE_TUI,P1-P-HABITAT-FRANCE_PIERRE_GRES_TUILE,1.65,1.65,2.5,68.6,31.4,0.0,1.7375,1.2,2.5,79.4,20.6,0.0,100,13447,0.979,0.712,0.05,0.35,0.61,1.9,2.5,4,2,100,13447,0.598,0.733,0.05,0.18,0.24,0.53,4.62,4,14,68.6,9222,0.54,0.344,0.05,0.33,0.4,0.63,1.62,8,5,79.4,10675,0.255,0.145,0.05,0.17,0.2,0.3,1.16,13,18,31.4,4225,1.936,0.135,1.65,1.9,2.0,2.0,2.5,0.0,0.0,20.6,2772,1.918,0.572,1.2,1.2,2.3,2.5,4.62,0,0
HAB_P_P1_TMEU,P1-P-HABITAT-FRANCE_PIERRE_MEULIERE_TUILE,2.45,2.45,2.5,99.8,0.2,0.0,1.7375,1.2,2.5,78.9,21.1,0.0,100,2943,1.001,0.714,0.05,0.35,0.63,1.75,2.5,5,2,100,2943,0.595,0.727,0.05,0.18,0.24,0.59,2.5,4,14,99.8,2936,0.998,0.711,0.05,0.35,0.62,1.75,2.34,5,2,78.9,2322,0.251,0.142,0.05,0.17,0.2,0.3,1.11,14,18,0.2,7,2.5,0.0,2.5,2.5,2.5,2.5,2.5,0.0,0.0,21.1,621,1.88,0.578,1.2,1.2,2.0,2.5,2.5,0,0
HAB_P_P1_TSCH_TUI,P1-P-HABITAT-FRANCE_PIERRE_SCHISTE_TUILE,2.3,2.29,2.5,100.0,0.0,0.0,1.7375,1.2,2.5,73.3,26.7,0.0,100,1439,1.289,0.724,0.1,0.42,1.68,2.0,2.0,1,1,100,1439,0.768,0.862,0.06,0.19,0.3,1.2,2.5,3,11,100.0,1439,1.289,0.724,0.1,0.42,1.68,2.0,2.0,1,1,73.3,1055,0.28,0.157,0.06,0.18,0.24,0.33,1.07,12,14,0.0,0,,,,,,,,,,26.7,384,2.109,0.51,1.2,1.45,2.5,2.5,2.5,0,0
HAB_P_P1_TER_TUI,P1-P-HABITAT-FRANCE_TERRE_TUILE,1.55,1.55,2.5,69.8,30.2,0.0,1.7375,1.2,2.5,82.2,17.8,0.0,100,2343,0.903,0.705,0.08,0.35,0.46,1.75,2.5,6,2,100,2343,0.543,0.698,0.06,0.17,0.2,0.43,2.5,5,18,69.8,1636,0.465,0.254,0.08,0.33,0.36,0.47,1.52,9,6,82.2,1927,0.245,0.145,0.06,0.17,0.19,0.29,1.11,14,19,30.2,707,1.915,0.167,1.55,1.81,2.0,2.0,2.5,0.0,0.0,17.8,416,1.922,0.578,1.2,1.2,2.3,2.5,2.5,0,0
COM_I_P2_TF,P2-I-COMMERCE-FRANCE,2.9,2.5,2.9,99.8,0.2,0.0,2.5,2.5,2.5,73.0,27.0,0.0,100,634,1.205,0.716,0.12,0.42,1.05,2.0,2.5,2,2,100,634,1.039,1.002,0.08,0.2,0.43,2.5,2.5,2,8,99.8,633,1.203,0.715,0.12,0.42,1.05,2.0,2.16,2,2,73.0,463,0.5,0.543,0.08,0.19,0.26,0.5,2.3,6,14,0.2,1,2.5,,2.5,2.5,2.5,2.5,2.5,0.0,0.0,27.0,171,2.5,0.0,2.5,2.5,2.5,2.5,2.5,0,0
HAB_I_P2_TAR,P2-I-HABITAT-FRANCE_ARDOISE,2.8,2.5,2.8,99.6,0.4,0.0,1.7375,1.2,2.5,45.9,53.9,0.1,100,49532,1.349,0.7,0.05,0.54,1.68,2.0,4.2,1,2,100,49532,1.448,1.059,0.05,0.3,1.45,2.5,4.2,0,0,99.6,49327,1.344,0.697,0.05,0.54,1.68,2.0,2.48,1,2,45.9,22744,0.343,0.223,0.05,0.19,0.27,0.43,1.19,9,13,0.4,205,2.589,0.23,2.5,2.5,2.5,2.5,4.2,0.0,0.0,54.0,26788,2.386,0.34,1.2,2.5,2.5,2.5,4.2,0,0
HAB_I_P2_TBR,P2-I-HABITAT-FRANCE_TUILE,2.8,2.5,2.8,99.6,0.4,0.0,1.7375,1.2,2.5,45.9,53.9,0.1,100,49532,1.349,0.7,0.05,0.54,1.68,2.0,4.2,1,2,100,49532,1.448,1.059,0.05,0.3,1.45,2.5,4.2,0,0,99.6,49327,1.344,0.697,0.05,0.54,1.68,2.0,2.48,1,2,45.9,22744,0.343,0.223,0.05,0.19,0.27,0.43,1.19,9,13,0.4,205,2.589,0.23,2.5,2.5,2.5,2.5,4.2,0.0,0.0,54.0,26788,2.386,0.34,1.2,2.5,2.5,2.5,4.2,0,0
TER_I_P2_TF,P2-I-TERTIAIRE-FRANCE,2.9,2.5,2.9,100.0,0.0,0.0,2.5,2.5,2.5,78.1,21.6,0.3,100,320,1.154,0.725,0.07,0.4,0.98,2.0,2.0,3,2,100,320,0.888,0.952,0.1,0.19,0.34,1.45,2.9,3,10,100.0,320,1.154,0.725,0.07,0.4,0.98,2.0,2.0,3,2,78.1,250,0.435,0.468,0.1,0.19,0.24,0.43,2.3,8,15,0.0,0,,,,,,,,,,21.900000000000002,70,2.506,0.048,2.5,2.5,2.5,2.5,2.9,0,0
HAB_P_P2_TAR,P2-P-HABITAT-FRANCE_ARDOISE,2.0,2.0,2.5,64.4,35.6,0.0,1.7375,1.2,2.5,82.3,17.7,0.0,100,349662,1.316,0.676,0.05,0.6,1.65,2.0,4.35,0,1,100,349662,0.616,0.748,0.05,0.18,0.3,0.59,4.4,4,11,64.4,225040,0.935,0.548,0.05,0.42,0.89,1.55,1.99,2,2,82.3,287699,0.292,0.172,0.05,0.18,0.24,0.34,1.19,11,14,35.6,124622,2.005,0.049,2.0,2.0,2.0,2.0,4.35,0.0,0.0,17.7,61963,2.118,0.529,1.2,1.45,2.5,2.5,4.4,0,0
HAB_P_P2_TBR,P2-P-HABITAT-FRANCE_TUILE,2.0,2.0,2.5,64.4,35.6,0.0,1.7375,1.2,2.5,82.3,17.7,0.0,100,349662,1.316,0.676,0.05,0.6,1.65,2.0,4.35,0,1,100,349662,0.616,0.748,0.05,0.18,0.3,0.59,4.4,4,11,64.4,225040,0.935,0.548,0.05,0.42,0.89,1.55,1.99,2,2,82.3,287699,0.292,0.172,0.05,0.18,0.24,0.34,1.19,11,14,35.6,124622,2.005,0.049,2.0,2.0,2.0,2.0,4.35,0.0,0.0,17.7,61963,2.118,0.529,1.2,1.45,2.5,2.5,4.4,0,0
