INSEE_DEP,Part_Tui,Part_Ard,Part_Zin,Dens_toit,Toit,P1Old,P2Old,Terr_P1,Terr_P2,Diff_P1
65,0.511524,0.465098,0.023378,0.004005,Tuile,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,0
66,0.775665,0.195922,0.006289,0.006188,Tuile,FRANCE_PIERRE_SCHISTE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_SCHISTE_TUILE,FRANCE_TUILE,1
67,0.966508,0.007164,0.026328,0.006838,Tuile,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,0
06,0.904239,0.027333,0.068428,0.008947,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,1
68,0.940515,0.017268,0.042218,0.006337,Tuile,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,1
69,0.949018,0.006744,0.044238,0.013876,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,1
70,0.546885,0.002759,0.018074,0.001665,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,1
71,0.948142,0.033909,0.017949,0.004016,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,1
72,0.698489,0.276723,0.024788,0.004722,Tuile,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,0
73,0.521099,0.271631,0.20727,0.004214,Tuile,FRANCE_BOIS_ARDOISE,FRANCE_ARDOISE,FRANCE_BOIS_TUILE,FRANCE_TUILE,0
74,0.766696,0.124468,0.108836,0.006701,Tuile,FRANCE_BOIS_TUILE,FRANCE_TUILE,FRANCE_BOIS_TUILE,FRANCE_TUILE,1
75,0.140069,0.255267,0.604664,0.141087,Zinc,FRANCE_PIERRE_CALCAIRE_ZINC,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_ZINC,FRANCE_ZINC,1
76,0.482314,0.493914,0.023772,0.00531,Ardoise,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,1
77,0.962594,0.023332,0.014073,0.007754,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,1
