INSEE_DEP,Part_Tui,Part_Ard,Part_Zin,Dens_toit,Toit,P1Old,P2Old,Terr_P1,Terr_P2,Diff_P1
"59",0.772247847222222,0.205545473765432,0.022206672839506,0.014362692901235,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,"1"
"60",0.761243961708396,0.221603319587629,0.017152701030928,0.004414491899853,Tuile,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"0"
"61",0.660272727272727,0.319923028571429,0.019804257142857,0.002976088311688,Tuile,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,"0"
"62",0.903996561797754,0.080027688764045,0.015975753932584,0.007762646067416,Tuile,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,"0"
"63",0.817360006465517,0.142576484913793,0.040063525862069,0.004964556034483,Tuile,FRANCE_PIERRE_VOLCANIQUE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_VOLCANIQUE_TUILE,FRANCE_TUILE,"1"
"64",0.721329644688645,0.249702373626374,0.028967961538462,0.004877373626374,Tuile,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,"0"
"65",0.511524428571429,0.465097737739872,0.023377827292111,0.004004912579957,Tuile,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,"0"
"66",0.775665464601770,0.195921694690265,0.006288938053097,0.006188256637168,Tuile,FRANCE_PIERRE_SCHISTE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_SCHISTE_TUILE,FRANCE_TUILE,"1"
"67",0.966507854085603,0.007164122568093,0.026328040856031,0.006837906614786,Tuile,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,"0"
"06",0.904238680981595,0.027333024539877,0.068428257668712,0.008946834355828,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"1"
